Site,Sample_ID,Date,Species,Pollen,Sample_no,Who,Buffer,Date,Epoch,RNA,NFW,Date,Target_RNA,DF
Goe1070,Goe1070S1,7.22,Andrena flavipes,yes,1,C,300,19.5.23,452.988,1.77,8.23,23.5.23,800,10
Goe1070,Goe1070S2,7.22,Andrena flavipes,no,2,C,300,19.5.23,511.032,1.57,8.43,23.5.23,800,10
Goe1070,Goe1070S3,7.22,Andrena flavipes,yes,3,C,300,19.5.23,824.039,0.97,9.03,23.5.23,800,10
Goe1070,Goe1070S4,7.22,Andrena bicolor,yes,4,C,300,19.5.23,493.471,1.62,8.38,23.5.23,800,10
Goe1070,Goe1070S5,7.22,Andrena flavipes,yes,5,C,300,19.5.23,376.623,2.12,7.88,23.5.23,800,10
Goe1070,Goe1070S6,7.22,Andrena flavipes,yes,6,C,300,19.5.23,269.314,2.97,7.03,23.5.23,800,10
Goe1070,Goe1070S7,7.22,Andrena flavipes,yes,7,C,300,19.5.23,523.656,1.53,8.47,23.5.23,800,10
Goe1070,Goe1070S8,7.22,Andrena flavipes,no,8,C,300,19.5.23,797.971,1.00,9.00,23.5.23,800,10
Goe1070,Goe1070S9,7.22,Andrena flavipes,no,9,C,300,19.5.23,937.779,0.85,9.15,23.5.23,800,10
Goe1070,Goe1070S10,7.22,Andrena gravida,yes,10,C,300,19.5.23,615.993,1.30,8.70,23.5.23,800,10
Goe1214,Goe1214S1,7.22,Andrena flavipes,yes,1,C,300,19.5.23,745.574,1.07,8.93,23.5.23,800,10
Goe1214,Goe1214S2,7.22,Andrena flavipes,yes,2,C,300,19.5.23,686.887,1.16,8.84,23.5.23,800,10
Goe1214,Goe1214S3,7.22,Andrena flavipes,yes,3,C,300,19.5.23,793.23,1.01,8.99,23.5.23,800,10
Goe1214,Goe1214S4,7.22,Andrena flavipes,yes,4,C,300,19.5.23,561.356,1.43,8.57,23.5.23,800,10
Goe1214,Goe1214S5,7.22,Andrena flavipes,yes,5,C,300,19.5.23,683.505,1.17,8.83,23.5.23,800,10
Goe1214,Goe1214S6,7.22,Andrena flavipes,yes,6,C,300,19.5.23,727.441,1.10,8.90,23.5.23,800,10
Goe1214,Goe1214S7,7.22,Andrena flavipes,yes,7,C,300,19.5.23,411.479,1.94,8.06,23.5.23,800,10
Goe1214,Goe1214S8,7.22,Andrena flavipes,yes,8,C,300,19.5.23,660.368,1.21,8.79,23.5.23,800,10
Goe1214,Goe1214S9,7.22,Andrena flavipes,yes,9,C,300,19.5.23,249.683,3.20,6.80,23.5.23,800,10
Goe1214,Goe1214S10,7.22,Andrena flavipes,yes,10,C,300,19.5.23,804.312,0.99,9.01,23.5.23,800,10
Goe1227,Goe1227S1,7.22,Andrena flavipes,yes,1,C,300,19.5.23,460.225,1.74,8.26,23.5.23,800,10
Goe1227,Goe1227S2,7.22,Andrena flavipes, yes,2,C,300,19.5.23,506.848,1.58,8.42,23.5.23,800,10
Goe1227,Goe1227S3,7.22,Andrena flavipes,no,3,C,300,19.5.23,524.984,1.52,8.48,23.5.23,800,10
Goe1227,Goe1227S4,7.22,Andrena flavipes,no,4,C,300,19.5.23,940.355,0.85,9.15,23.5.23,800,10
Goe1227,Goe1227S5,7.22,Andrena dorsata,no,5,C,300,19.5.23,403.845,1.98,8.02,23.5.23,800,10
Goe1227,Goe1227S6,7.22,Andrena flavipes,no,6,C,300,19.5.23,253.967,3.15,6.85,23.5.23,800,10
Goe1227,Goe1227S7,7.22,Andrena flavipes,yes,7,C,300,19.5.23,968.859,0.83,9.17,23.5.23,800,10
Goe1227,Goe1227S8,7.22,Andrena flavipes,yes,8,C,300,19.5.23,769.767,1.04,8.96,23.5.23,800,10
Goe1227,Goe1227S9,7.22,Andrena flavipes,yes,9,C,300,19.5.23,982.153,0.81,9.19,23.5.23,800,10
Goe1227,Goe1227S10,7.22,Andrena nigroolivacea,yes,10,C,300,19.5.23,328.428,2.44,7.56,23.5.23,800,10
Goe1256,Goe1256S1,7.22,Andrena minutula,no,1,C,200,19.5.23,19.805,8.08,1.92,23.5.23,160,2
Goe1256,Goe1256S2,7.22,Andrena minutula,no,2,C,200,19.5.23,40.499,5.93,4.07,23.5.23,240,3
Goe1256,Goe1256S3,7.22,Andrena minutula,no,3,C,200,19.5.23,14.695,10.89,-0.89,23.5.23,160,2
Goe1256,Goe1256S4,7.22,Andrena minutula,no,4,C,200,19.5.23,43.556,5.51,4.49,23.5.23,240,3
Goe1256,Goe1256S5,7.22,Andrena minutula,no,5,C,200,19.5.23,19.614,8.16,1.84,23.5.23,160,2
Goe1256,Goe1256S6,7.22,Andrena minutula,no,6,C,200,19.5.23,33.08,7.26,2.74,23.5.23,240,3
Goe1256,Goe1256S7,7.22,Sphecodes miniatus,no,7,C,200,19.5.23,31.007,7.74,2.26,23.5.23,240,3
Goe1256,Goe1256S8,7.22,Andrena minutula,no,8,C,200,19.5.23,17.417,9.19,0.81,23.5.23,160,2
Goe1256,Goe1256S9,7.22,Lasioglossum leucopus,no,9,C,200,19.5.23,22.429,7.13,2.87,23.5.23,160,2
Goe1256,Goe1256S10,7.22,Andrena minutula,no,10,C,200,19.5.23,19.446,8.23,1.77,23.5.23,160,2
Goe1256,Goe1256S11,7.22,Andrena dorsata,yes,11,C,200,5.10.23,500.794,1.60,8.40,6.10.23,800,10
Goe1256,Goe1256S12,7.22,Andrena dorsata,yes,12,C,200,5.10.23,510.865,1.57,8.43,6.10.23,800,10
Goe1286,Goe1286S1,7.22,Andrena flavipes,yes,1,C,500,23.5.23,316.841,2.52,7.48,6.9.23,800,10
Goe1286,Goe1286S2,7.22,Andrena flavipes,yes,2,C,500,23.5.23,434.582,1.84,8.16,6.9.23,800,10
